id,certification,exam,domain,topic,difficulty,question_type,question,correct_keys,explanation,tags,privacy_note,A,B,C,D
MCQ-SY0701-0062,CompTIA Security+,SY0-701,Threats/Vulnerabilities/Mitigations,Phishing,hard,single_best_answer,A finance user receives a convincing invoice from a lookalike domain and the sender pressures immediate payment. What is the best first action?,B,"Phishing/BEC should be reported and verified through trusted channels; avoid links, attachments, and replying to attackers.","phishing,BEC","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Pay if the logo looks correct.,Use the approved reporting/verification path and do not click links or reply to the sender.,Forward it to all staff as a warning with attachments included.,Ask the sender for a password reset link.
MCQ-SY0701-0063,CompTIA Security+,SY0-701,Threats/Vulnerabilities/Mitigations,Impersonation,hard,single_best_answer,An attacker calls the helpdesk claiming to be an executive and demands MFA reset approval. Which control most directly reduces this risk?,A,High-risk identity changes need trusted verification and approval paths.,"social engineering,MFA","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Out-of-band identity verification and reset approval workflow,Faster typing speed,Lower password complexity,Open guest Wi-Fi
MCQ-SY0701-0064,CompTIA Security+,SY0-701,Threats/Vulnerabilities/Mitigations,Supply Chain Vulnerabilities,hard,single_best_answer,A trusted vendor update channel distributes malicious code. Which risk category best fits?,A,Compromised vendor/update channels are supply-chain risks.,supply chain,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Supply chain compromise,Shoulder surfing,Bluejacking,Cable attenuation
MCQ-SY0701-0065,CompTIA Security+,SY0-701,Threats/Vulnerabilities/Mitigations,Misconfiguration,hard,single_best_answer,A cloud storage bucket is accidentally public. Which vulnerability type is the best fit?,A,Unintended public exposure of cloud storage is a common misconfiguration.,"cloud,misconfiguration","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Misconfiguration,Race condition,RF jamming,Rainbow table
MCQ-SY0701-0066,CompTIA Security+,SY0-701,Threats/Vulnerabilities/Mitigations,Indicators of Compromise,hard,single_best_answer,A user account logs in from Australia and Eastern Europe within five minutes. Which indicator is this?,A,Impossible travel indicates logins from geographically impossible locations in a short period.,"IOC,identity","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Impossible travel,Data masking,RAID rebuild,Successful NTP sync
MCQ-SY0701-0067,CompTIA Security+,SY0-701,Threats/Vulnerabilities/Mitigations,DNS Attacks,hard,single_best_answer,Users are sent to a fake banking site even when they type the correct domain. Which attack should be considered?,A,Correct domain resolving to malicious destination can indicate DNS spoofing/poisoning or domain hijack.,DNS security,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",DNS spoofing/poisoning or domain hijacking,RAM parity checking,Disk fragmentation,Printer spooler jam
MCQ-SY0701-0068,CompTIA Security+,SY0-701,Threats/Vulnerabilities/Mitigations,On-path Attacks,hard,single_best_answer,An attacker positions themselves between a client and server to read or alter traffic. Which term best describes this?,A,An on-path attacker intercepts traffic between parties.,"on-path,MITM","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",On-path attack,Cold site recovery,RAID 10,Data deduplication
MCQ-SY0701-0069,CompTIA Security+,SY0-701,Threats/Vulnerabilities/Mitigations,Mitigation Techniques,hard,single_best_answer,Which action best applies least privilege?,B,Least privilege limits access to what is required and should be reviewed.,least privilege,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Give all staff local admin so they do not need support.,Grant only the access needed for the role and review it regularly.,Use one shared service account for all tasks.,Disable audit logs to protect privacy.
MCQ-SY0701-0070,CompTIA Security+,SY0-701,Security Architecture,Network Appliances,hard,single_best_answer,A web application is vulnerable to common HTTP-layer attacks. Which security device is most directly designed to inspect and filter web app traffic?,A,A Web Application Firewall inspects/filter web application traffic.,WAF,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",WAF,Patch panel,Toner probe,KVM switch
MCQ-SY0701-0071,CompTIA Security+,SY0-701,Security Architecture,Secure Communication,hard,single_best_answer,A company wants secure private connectivity for remote users plus identity-aware policy at cloud edge locations. Which concept may combine these ideas?,A,SASE/ZTNA approaches combine identity-aware secure access and cloud-delivered security/connectivity.,"SASE,ZTNA","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",SASE/ZTNA-style secure access architecture,Coax splitter only,WEP shared key,Standalone unmanaged hub
MCQ-SY0701-0072,CompTIA Security+,SY0-701,Security Architecture,Data Classifications,hard,single_best_answer,Which data-handling decision is most directly driven by classification?,A,"Classification guides handling controls such as sharing, storage, encryption, retention, and disposal.",data classification,"Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.","Whether data may be shared, stored, encrypted, retained, or destroyed under policy.",Which monitor colour temperature to use.,Whether the keyboard has a numpad.,Which font is used in a report.
MCQ-SY0701-0073,CompTIA Security+,SY0-701,Security Operations,Incident Response,hard,single_best_answer,"During suspected account compromise, which action best preserves evidence and limits damage?",B,"Incident response should contain risk while preserving evidence, documenting, and escalating.","IR,account compromise","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",Delete all logs so the attacker cannot see them.,"Follow incident process: contain account/session risk, preserve logs, document times, and escalate.",Ask the suspected attacker if they logged in.,Post details publicly to warn everyone.
MCQ-SY0701-0074,CompTIA Security+,SY0-701,Security Program Management,Security Awareness,hard,single_best_answer,Training users to report suspicious MFA prompts instead of approving them mainly reduces which risk?,A,MFA fatigue attacks rely on users approving unexpected prompts; awareness and reporting reduce risk.,"training,MFA","Synthetic training scenario only. Do not use real student, staff, parent, credential, or network details.",MFA fatigue/social engineering,Optical fibre attenuation,RAID rebuild failure,APIPA assignment
